"Year","Catch.Millions","Revenue.Millions","CommDiv","RevDiv"
1981,0.6,2.81109229305424,2.23609811665925,2.27281897994573
1982,0.595,2.90443916049735,2.21625102152909,2.34101244448826
1983,0.13,0.458880224260958,3.0875863574163,3.44453706016986
1984,0.4,2.92371279519087,1,1
1985,1.246,7.33082519277848,2.9524399441747,2.81537823565681
1986,1.278,7.16736075135936,2.71471153621288,2.56460626490596
1987,1.338,8.41227568361731,2.75736158775154,2.55742210144396
1988,1.675,5.09693248550113,1.98667051738553,2.21258278728087
1989,1.408,8.0243680505452,2.41734641147646,2.27265709446075
1990,1.309,7.36998799336807,2.58193342373523,2.41248665354205
1991,0.824,6.54197996336244,1.51119714509176,1.38679236859381
1992,0.852,4.35940756650699,2.16071944635222,2.40333474401651
1993,1.013,6.48574832571663,2.69826273067378,2.73165373888099
1994,0.6,4.04340759853573,2.23691636294611,2.14619354410101
1995,0.807,4.71494735083316,2.24226287328843,2.20308615673259
1996,0.678,4.23406567486634,2.10394733177846,1.96401938411372
1997,0.536,3.59252253687256,1.96193507251021,1.81754202198583
1998,0.612,3.77909428469838,2.67451812402452,2.50562548416101
1999,0.745198,3.92758604115151,2.20856059850109,2.17482886465166
2000,0.748546,4.00727830605319,2.00085857893756,1.84584588206998
2001,0.587435,2.92887198796721,2.12081036322371,2.10972867454976
2002,0.400279,2.47952376156521,1.00877910954198,1.0139236325998
2003,0.354861,2.29687374040396,1.02958704043021,1.0346512120606
2004,0.371791,2.45590545996122,1.00084154016121,1.00144758389788
2005,0.288998,1.96133660558752,1.00266109568861,1.00431401306682
2006,0.236223,1.64546696430195,1.00024901359267,1.00026833547043
2007,0.232279,1.49447303283749,1.01323110210041,1.013993573611
2008,0.240301,1.46826508355529,1.00558176102269,1.00460828805186
2009,0.284104,1.78282769005317,1.00672008869209,1.00243895606183
2010,0.232951,1.4818192714548,1.00808926196952,1.00636397331335
2011,0.176418,1.16444276785077,1.04065107843014,1.04494883961322
2012,0.21816,1.52595840216603,1.06778786116346,1.08369457514631
2013,0.26465,1.84443789669525,1.17378086189307,1.21713897050452
2014,0.301881,2.14708851026305,1.22550543951102,1.2260306525186
2015,0.135051,1.02364729292814,1.24067071499104,1.20254630628716
2016,0.270077,1.86546006022504,1.07532203548106,1.08477519905061
2017,0.299662,2.15019485136449,1.03499180575079,1.04223779005131
2018,0.204307,1.54593742738977,1.16015745776003,1.19741957709271
2019,0.200409,1.36984686364132,1.06343022984668,1.06858038357315
2020,0.167341,1.007575,1,1
