"Year","Employment","Sector"
2002,1231,"Combined"
2005,1046,"Combined"
2006,1022,"Combined"
2009,1037,"Combined"
2010,1033,"Combined"
2011,1038,"Combined"
2012,1061,"Combined"
2013,1094,"Combined"
2014,1096,"Combined"
2016,1186,"Combined"
2017,1217,"Combined"
2018,1203,"Combined"
2019,1192,"Combined"
2002,223,"Fishing"
2005,153,"Fishing"
2006,140,"Fishing"
2009,146,"Fishing"
2010,135,"Fishing"
2011,122,"Fishing"
2012,116,"Fishing"
2013,118,"Fishing"
2014,109,"Fishing"
2016,122,"Fishing"
2017,113,"Fishing"
2018,105,"Fishing"
2019,111,"Fishing"
2001,509,"Seaf Markets"
2002,523,"Seaf Markets"
2003,547,"Seaf Markets"
2004,548,"Seaf Markets"
2005,542,"Seaf Markets"
2006,461,"Seaf Markets"
2007,393,"Seaf Markets"
2008,413,"Seaf Markets"
2009,389,"Seaf Markets"
2010,387,"Seaf Markets"
2011,394,"Seaf Markets"
2012,403,"Seaf Markets"
2013,416,"Seaf Markets"
2014,384,"Seaf Markets"
2015,383,"Seaf Markets"
2016,376,"Seaf Markets"
2017,383,"Seaf Markets"
2018,383,"Seaf Markets"
2019,361,"Seaf Markets"
2001,489,"Seaf Wholesale"
2002,485,"Seaf Wholesale"
2003,471,"Seaf Wholesale"
2004,396,"Seaf Wholesale"
2005,351,"Seaf Wholesale"
2006,421,"Seaf Wholesale"
2007,518,"Seaf Wholesale"
2008,534,"Seaf Wholesale"
2009,502,"Seaf Wholesale"
2010,511,"Seaf Wholesale"
2011,522,"Seaf Wholesale"
2012,542,"Seaf Wholesale"
2013,560,"Seaf Wholesale"
2014,603,"Seaf Wholesale"
2015,650,"Seaf Wholesale"
2016,688,"Seaf Wholesale"
2017,721,"Seaf Wholesale"
2018,715,"Seaf Wholesale"
2019,720,"Seaf Wholesale"
