"Year","Region","Angler.Trips","PSE","Trips.upperCI","Trips.lowerCI"
2003,"HAWAIIAN ISLANDS",2402259,4.9,2632971.95436,2171546.04564
2004,"HAWAIIAN ISLANDS",2870791,4.8,3140875.01728,2600706.98272
2005,"HAWAIIAN ISLANDS",2470403,4.6,2693134.53448,2247671.46552
2006,"HAWAIIAN ISLANDS",2644092,4.5,2877300.9144,2410883.0856
2007,"HAWAIIAN ISLANDS",2576671,5.5,2854436.1338,2298905.8662
2008,"HAWAIIAN ISLANDS",2530598,5.2,2788516.54816,2272679.45184
2009,"HAWAIIAN ISLANDS",2163026,4.5,2353804.8932,1972247.1068
2010,"HAWAIIAN ISLANDS",2390230,5.5,2647896.794,2132563.206
2011,"HAWAIIAN ISLANDS",1381713,6.1,1546910.60628,1216515.39372
2012,"HAWAIIAN ISLANDS",1519488,5.9,1695201.59232,1343774.40768
2013,"HAWAIIAN ISLANDS",1512876,6.1,1693755.45456,1331996.54544
2014,"HAWAIIAN ISLANDS",1374405,6,1536035.028,1212774.972
2015,"HAWAIIAN ISLANDS",1431048,6.5,1613363.5152,1248732.4848
2016,"HAWAIIAN ISLANDS",1024198,6.8,1160703.10944,887692.89056
2017,"HAWAIIAN ISLANDS",1279884,7.7,1473044.09328,1086723.90672
2018,"HAWAIIAN ISLANDS",3420697,5.7,3802857.26884,3038536.73116
2019,"HAWAIIAN ISLANDS",3479082,5,3820032.036,3138131.964
2020,"HAWAIIAN ISLANDS",3901794,4.4,4238284.71456,3565303.28544
2021,"HAWAIIAN ISLANDS",3392470,5,3724932.06,3060007.94
