"Year","Browsers","Grazers","Scrapers","Predators","SecConsumers","Coral","Macro","Other","Turf","CCA","Herbivores","Calcifiers","Algae","CommDiv","Revenue.Millions","Catch.Millions"
1993,4.74102798233333,18.5094336644444,2.87472827877778,11.296672971,54.2681730354444,14.3240740741111,22.9375925933333,7.17814814811111,34.9338888888889,16.1601851844444,26.1251899255556,30.4842592585556,57.8714814822222,7.20288635835706,69.082,34.582
1999,7.005833742,33.0527512647778,5.16398330155556,2.86455239533333,86.0319634677778,19.4165935271111,1.25886811433333,1.90758955511111,44.8446860311111,27.9582884733333,45.2225683083333,47.3748820004444,46.1035541454444,7.67272989042941,64.557,36.907
2000,8.983330679,12.496835102375,12.28803273675,3.524828221625,35.385653003875,27.206888525,4.329307935625,59.371611531375,6.97375,1.66666666625,33.768198518125,28.87355519125,11.303057935625,7.21261514966568,68.447,32.531
2002,3.90105356585714,8.61038271752381,3.63133235342857,2.05082879985714,12.953819610381,10.1865306128571,17.9442630387619,19.9721541954762,49.0212698414286,2.45038548752381,16.1427686368095,12.636916100381,66.9655328801905,9.10242065760264,52.168,23.848
2003,3.80461421973913,9.9848738863913,2.99850630278261,0.666666530956522,16.8461260481739,6.54724637682609,6.64347826073913,9.36463768117391,68.8243478256522,8.50608695634783,16.787994408913,15.0533333331739,75.4678260863913,10.9991801072409,52.475,23.562
2004,3.08379351433333,16.4559118338095,6.07665411911905,8.57166239795238,42.3414909358095,31.706658844619,1.35918716804762,1.7414416332619,51.2338035721429,11.6760067315,25.6163594672619,43.382665576119,52.5929907401905,9.66933949950907,57.423,24.393
2005,2.86832397644444,17.0068532284444,7.23611648588889,6.91387661611111,58.7305728147778,15.7777777782222,4.38034187977778,5.63532763633333,60.6737891766667,10.1111111108889,27.1112936907778,25.8888888891111,65.0541310564444,9.57336706177551,70.852,28.146
2006,10.7096649976535,17.7394260120099,7.34564770661386,3.70834062440594,28.3478474612772,19.6288372138713,8.05509194888119,14.2047620463069,45.3281960542772,10.310452534297,35.7947387162772,29.9392897481683,53.3832880031584,9.73225022244688,66.811,26.027
2007,9.1027741787094,14.5143447036838,8.62764218694017,5.32460077759829,27.7468802613162,22.9951276610513,8.10278931482051,8.82673442730769,48.1898757668376,9.01687952855556,32.2447610693333,32.0120071896068,56.2926650816581,8.22045360556425,75.725,28.938
2008,13.5206851692264,29.0196578700943,14.0663955507358,5.15870462120755,27.6279775341887,25.3858339043962,10.6274269256038,16.2309952949245,41.1441848105094,4.38517120609434,56.6067385900566,29.7710051104906,51.7716117361132,8.50040757747778,84.927,30.658
2009,19.5342229824054,13.3608456159189,12.7952485781892,14.0722222444054,48.4316378316216,19.9706326524054,10.310686633027,30.7689219692973,34.8005866112973,2.66180371837838,45.6903171765135,22.6324363707838,45.1112732443243,9.13839817679444,71.257,26.913
2010,9.891141941125,16.8244578350179,14.9722823989464,6.30156688544643,24.1262318363036,17.295753908375,10.8214719318036,6.03846460967857,57.2528010185714,5.88187129928571,41.6878821750893,23.1776252076607,68.074272950375,8.02136955084627,84.091,28.074
2011,21.3157456219467,13.0833370533333,12.08197191004,6.03632706148,28.93117262956,25.5855648557333,5.73265001008,4.62710941216,56.0596893105333,5.28532968418667,46.48105458532,30.87089453992,61.7923393206133,8.46572291472187,91.611,29.295
2012,21.8461370936739,16.2017145528043,14.3924765974348,6.0900818798913,40.1284075720435,18.6517549408913,8.10772949943478,6.25256678530435,58.736512798913,6.05725570704348,52.440328243913,24.7090106479348,66.8442422983478,8.30840890962505,112.343,31.053
2013,17.7099384602069,13.0611268266897,21.5537696952069,4.37858433117241,28.3109984274483,19.6743493498276,2.3724770587931,5.0180820332069,64.7633954658621,7.06061317762069,52.3248349821034,26.7349625274483,67.1358725246552,7.86302587120039,108.031,32.453
2014,12.6585028308,23.004217157525,8.382808453325,10.3621910142,39.3375644931,27.4439733122,0.956499082875,2.348054567825,57.643640848,9.565742541075,44.04552844165,37.009715853275,58.600139930875,7.85656645743785,101.313,33.48
2015,17.4550874059444,22.4240910365556,31.085740088,58.8504271381111,33.7216905784444,12.9937480662222,2.52300033238889,0.865940264722222,73.8360772596667,7.60270910905556,70.9649185305,20.5964571752778,76.3590775920556,6.14431268740638,103.424,34.625
2016,5.76419733027273,16.1709963515455,10.9389214341818,14.4232865313636,75.0065311545455,22.5016600043636,1.62085564904545,3.27436810454545,53.6744575613636,14.9189348084545,32.874115116,37.4205948128182,55.2953132104091,7.10044941865765,118.182,35.055
