"Year","CommDiv","Revenue.Millions","Catch.Millions","nominal_revenue"
1981,4.82246967425788,44.4885358761717,13.396,18.338
1982,5.78807369081187,32.9620744019906,14.245,14.426
1983,3.09808580482915,39.3582455394531,28.829,17.896
1984,3.63925073658786,62.4050560437119,34.824,29.402
1985,6.7145066675926,45.3066030073397,16.987,22.022
1986,8.09130212846666,40.4978702845441,10.59,20.082
1987,6.87059036096561,53.7805803621127,15.566,27.326
1988,6.61849262527682,75.5665841984048,21.131,39.749
1989,8.69045100821536,86.1744664086687,24.397,47.109
1990,8.27022147683709,114.618343996011,26.582,65.009
1991,7.02872753093681,98.4129573127424,27.662,57.702
1992,6.85368470372576,117.09624988952,27.893,70.219
1993,7.20288635835706,112.531499363358,34.582,69.082
1994,8.01506555727734,99.6042299927544,27.09,62.451
1995,8.79150457701795,93.4886347292474,29.892,59.847
1996,8.87764777971851,98.6217720460376,31.87,64.288
1997,7.63728478994328,103.59212699191,36.568,68.693
1998,7.18019734045092,92.555518253702,36.426,62.065
1999,7.67272989042941,94.9023532288795,36.907,64.557
2000,7.21261514966568,98.4199183523166,32.531,68.447
2001,6.28283742584224,76.7654955868392,23.87,54.561
2002,9.10242065760264,72.2569007223891,23.848,52.168
2003,10.9991801072409,71.3610036522877,23.562,52.475
2004,9.66933949950907,76.0429867351633,24.393,57.423
2005,9.57336706177551,90.9909574528326,28.146,70.852
2006,9.73225022244688,83.2777124703335,26.027,66.811
2007,8.22045360556425,91.9201155624037,28.938,75.725
2008,8.50040757747778,101.115269960626,30.658,84.927
2009,9.13839817679444,84.2019594748573,26.913,71.257
2010,8.02136955084627,98.2260017792715,28.074,84.091
2011,8.46572291472187,104.819467682139,29.295,91.611
2012,8.30840890962505,126.119513438918,31.053,112.343
2013,7.86302587120039,119.189907804572,32.453,108.031
2014,7.85656645743785,109.749130695319,33.48,101.313
2015,6.14431268740638,110.975491658104,34.625,103.424
2016,7.10044941865765,125.495782148904,35.055,118.182
2017,6.97744280682654,121.348318225709,37.166,116.423
2018,6.84055503224662,121.286096349002,35.497,119.158
2019,6.92419504396376,219.501,69.369,219.501
