"Year","State","Industry","Establishments","Total.Receipts"
1997,"HI","Fishing",NA,NA
1998,"HI","Fishing",1500,49212
1999,"HI","Fishing",1549,53775
2000,"HI","Fishing",1513,51521
2001,"HI","Fishing",1393,42070
2002,"HI","Fishing",1289,40075
2003,"HI","Fishing",1288,43540
2004,"HI","Fishing",1308,43159
2005,"HI","Fishing",1192,45914
2006,"HI","Fishing",1170,46090
2007,"HI","Fishing",1203,47473
2008,"HI","Fishing",1128,48093
2009,"HI","Fishing",1095,40145
2010,"HI","Fishing",1113,50285
2011,"HI","Fishing",1209,51639
2012,"HI","Fishing",1287,60684
2013,"HI","Fishing",1266,60345
2014,"HI","Fishing",1314,66731
2015,"HI","Fishing",23,4808
2016,"HI","Fishing",1223,64701
2017,"HI","Fishing",1159,62049
2018,"HI","Fishing",1133,60255
